id,text,word_count,avg_word_length,sentence_count,complexity_score,target
337,The article uses highly technical terminology and advanced concepts. Sample 337,184,4.93,2,0.908,-2.284
338,The research manuscript presents sophisticated theoretical arguments. Sample 338,138,6.18,2,0.913,-1.599
339,The document contains moderately complex vocabulary. Sample 339,38,8.49,13,0.788,-1.51
340,The story is engaging and suitable for young readers. Sample 340,168,7.88,1,0.298,1.822
341,The article uses highly technical terminology and advanced concepts. Sample 341,165,5.77,18,0.524,4.114
342,The document contains moderately complex vocabulary. Sample 342,278,5.84,7,0.809,-0.355
343,The story is engaging and suitable for young readers. Sample 343,254,6.74,6,0.014,-0.303
344,The article uses highly technical terminology and advanced concepts. Sample 344,118,4.38,13,0.827,1.122
345,This passage is easy to read and understand. Sample 345,225,6.85,6,0.982,0.82
346,The document contains moderately complex vocabulary. Sample 346,23,4.8,8,0.447,-0.864
347,The article uses highly technical terminology and advanced concepts. Sample 347,174,6.41,19,0.011,2.229
348,The story is engaging and suitable for young readers. Sample 348,140,3.81,4,0.465,-1.722
349,The story is engaging and suitable for young readers. Sample 349,277,8.12,10,0.69,2.11
350,The article uses highly technical terminology and advanced concepts. Sample 350,208,6.57,8,0.957,0.825
351,The tutorial is beginner friendly and clearly written. Sample 351,211,5.58,18,0.913,3.059
352,The story is engaging and suitable for young readers. Sample 352,131,7.31,20,0.873,-2.345
353,The tutorial is beginner friendly and clearly written. Sample 353,290,7.02,3,0.917,-2.102
354,The research manuscript presents sophisticated theoretical arguments. Sample 354,278,4.51,18,0.15,-0.375
355,The research manuscript presents sophisticated theoretical arguments. Sample 355,246,4.08,7,0.717,0.911
356,The research manuscript presents sophisticated theoretical arguments. Sample 356,248,7.54,15,0.132,0.323
357,The research manuscript presents sophisticated theoretical arguments. Sample 357,49,6.29,10,0.723,0.168
358,This passage is easy to read and understand. Sample 358,131,6.39,2,0.424,2.603
359,The research manuscript presents sophisticated theoretical arguments. Sample 359,50,8.17,3,0.986,0.777
360,The article uses highly technical terminology and advanced concepts. Sample 360,229,4.4,5,0.766,4.827
361,The story is engaging and suitable for young readers. Sample 361,235,5.37,13,0.449,4.337
362,The tutorial is beginner friendly and clearly written. Sample 362,212,3.9,18,0.133,3.882
363,This passage is easy to read and understand. Sample 363,111,8.46,13,0.529,2.823
364,The document contains moderately complex vocabulary. Sample 364,21,7.28,10,0.463,2.753
365,The tutorial is beginner friendly and clearly written. Sample 365,292,5.4,8,0.248,-0.231
366,The article uses highly technical terminology and advanced concepts. Sample 366,116,8.19,4,0.032,2.282
367,The research manuscript presents sophisticated theoretical arguments. Sample 367,28,4.7,3,0.101,-2.731
368,The research manuscript presents sophisticated theoretical arguments. Sample 368,44,4.72,2,0.402,-1.125
369,The document contains moderately complex vocabulary. Sample 369,48,4.2,10,0.234,4.331
370,The research manuscript presents sophisticated theoretical arguments. Sample 370,183,6.39,11,0.237,4.01
371,The story is engaging and suitable for young readers. Sample 371,286,4.61,10,0.275,1.454
372,The research manuscript presents sophisticated theoretical arguments. Sample 372,109,6.63,14,0.556,-2.625
373,The article uses highly technical terminology and advanced concepts. Sample 373,215,7.43,11,0.696,0.266
374,The article uses highly technical terminology and advanced concepts. Sample 374,212,4.42,18,0.474,3.795
375,The article uses highly technical terminology and advanced concepts. Sample 375,93,7.53,2,0.562,4.742
376,The research manuscript presents sophisticated theoretical arguments. Sample 376,291,4.17,8,0.255,-0.358
377,This passage is easy to read and understand. Sample 377,250,7.74,3,0.536,3.635
378,This passage is easy to read and understand. Sample 378,157,5.39,20,0.603,3.989
379,The document contains moderately complex vocabulary. Sample 379,131,5.9,11,0.303,4.272
380,The document contains moderately complex vocabulary. Sample 380,117,8.31,4,0.747,3.035
381,The document contains moderately complex vocabulary. Sample 381,124,5.48,8,0.552,3.204
382,The tutorial is beginner friendly and clearly written. Sample 382,258,6.17,12,0.308,-0.123
383,The tutorial is beginner friendly and clearly written. Sample 383,258,3.99,16,0.762,-0.438
384,The document contains moderately complex vocabulary. Sample 384,209,5.06,2,0.563,-1.23
385,The document contains moderately complex vocabulary. Sample 385,28,4.8,19,0.579,0.341
386,The document contains moderately complex vocabulary. Sample 386,120,5.15,13,0.57,-1.034
387,The research manuscript presents sophisticated theoretical arguments. Sample 387,192,4.79,16,0.967,2.134
388,The tutorial is beginner friendly and clearly written. Sample 388,255,4.34,12,0.169,2.763
389,The tutorial is beginner friendly and clearly written. Sample 389,114,8.08,18,0.99,4.658
390,The research manuscript presents sophisticated theoretical arguments. Sample 390,37,7.7,3,0.945,2.346
391,This passage is easy to read and understand. Sample 391,231,4.19,8,0.068,-1.792
392,The document contains moderately complex vocabulary. Sample 392,278,5.78,2,0.618,2.334
393,The research manuscript presents sophisticated theoretical arguments. Sample 393,267,6.8,1,0.007,1.413
394,This passage is easy to read and understand. Sample 394,28,6.15,9,0.536,-0.706
395,The research manuscript presents sophisticated theoretical arguments. Sample 395,240,7.53,6,0.107,-2.229
396,The document contains moderately complex vocabulary. Sample 396,143,4.46,17,0.252,-0.164
397,The tutorial is beginner friendly and clearly written. Sample 397,60,5.37,13,0.459,-1.054
398,The story is engaging and suitable for young readers. Sample 398,135,5.0,3,0.654,3.866
399,This passage is easy to read and understand. Sample 399,67,5.53,13,0.553,-2.551
400,This passage is easy to read and understand. Sample 400,107,3.91,14,0.645,-0.35
401,This passage is easy to read and understand. Sample 401,290,8.1,8,0.211,3.945
402,The research manuscript presents sophisticated theoretical arguments. Sample 402,263,4.86,3,0.684,-0.757
403,The research manuscript presents sophisticated theoretical arguments. Sample 403,36,4.4,11,0.016,-1.343
404,The document contains moderately complex vocabulary. Sample 404,223,8.14,10,0.162,-1.076
405,The tutorial is beginner friendly and clearly written. Sample 405,296,5.16,5,0.79,2.514
406,This passage is easy to read and understand. Sample 406,276,7.23,12,0.054,0.497
407,This passage is easy to read and understand. Sample 407,194,6.53,20,0.955,0.174
408,The article uses highly technical terminology and advanced concepts. Sample 408,35,6.67,15,0.491,-0.154
409,The tutorial is beginner friendly and clearly written. Sample 409,241,4.43,19,0.661,-2.314
410,The research manuscript presents sophisticated theoretical arguments. Sample 410,171,7.49,3,0.082,-1.766
411,The story is engaging and suitable for young readers. Sample 411,98,7.2,11,0.361,-2.268
412,The article uses highly technical terminology and advanced concepts. Sample 412,247,5.3,9,0.102,-2.302
413,The tutorial is beginner friendly and clearly written. Sample 413,249,6.28,17,0.408,-2.79
414,The article uses highly technical terminology and advanced concepts. Sample 414,67,6.48,11,0.864,-2.901
415,The tutorial is beginner friendly and clearly written. Sample 415,218,7.4,18,0.905,4.825
416,The research manuscript presents sophisticated theoretical arguments. Sample 416,286,4.35,13,0.17,-0.849
417,The article uses highly technical terminology and advanced concepts. Sample 417,272,4.23,6,0.435,0.369
418,The tutorial is beginner friendly and clearly written. Sample 418,59,5.31,8,0.721,0.966
419,The research manuscript presents sophisticated theoretical arguments. Sample 419,120,5.79,5,0.305,4.591
420,The article uses highly technical terminology and advanced concepts. Sample 420,214,7.52,11,0.44,0.445
421,The story is engaging and suitable for young readers. Sample 421,89,5.0,20,0.947,-1.393
422,The article uses highly technical terminology and advanced concepts. Sample 422,110,8.32,11,0.291,2.56
423,The tutorial is beginner friendly and clearly written. Sample 423,144,5.13,9,0.816,0.143
424,This passage is easy to read and understand. Sample 424,122,6.46,18,0.18,3.141
425,This passage is easy to read and understand. Sample 425,256,8.21,7,0.438,-0.669
426,The story is engaging and suitable for young readers. Sample 426,55,7.59,14,0.673,-1.887
427,The article uses highly technical terminology and advanced concepts. Sample 427,143,4.76,5,0.715,3.313
428,This passage is easy to read and understand. Sample 428,249,8.45,16,0.582,1.275
429,The story is engaging and suitable for young readers. Sample 429,234,6.22,12,0.702,3.498
430,The research manuscript presents sophisticated theoretical arguments. Sample 430,63,4.05,8,0.658,-0.16
431,The story is engaging and suitable for young readers. Sample 431,42,6.32,13,0.967,-0.347
432,The tutorial is beginner friendly and clearly written. Sample 432,74,3.55,9,0.222,2.975
433,The research manuscript presents sophisticated theoretical arguments. Sample 433,133,5.73,13,0.463,2.436
434,The story is engaging and suitable for young readers. Sample 434,276,4.25,1,0.483,-0.637
435,This passage is easy to read and understand. Sample 435,79,7.66,5,0.348,-0.255
436,The document contains moderately complex vocabulary. Sample 436,286,5.91,16,0.098,2.776
437,The tutorial is beginner friendly and clearly written. Sample 437,183,3.84,2,0.81,-2.079
438,The article uses highly technical terminology and advanced concepts. Sample 438,75,6.89,6,0.93,2.924
439,The research manuscript presents sophisticated theoretical arguments. Sample 439,109,6.26,11,0.56,4.668
440,The document contains moderately complex vocabulary. Sample 440,227,6.65,6,0.64,0.457
441,This passage is easy to read and understand. Sample 441,121,5.75,14,0.389,2.638
442,The document contains moderately complex vocabulary. Sample 442,162,7.26,3,0.577,3.396
443,The research manuscript presents sophisticated theoretical arguments. Sample 443,115,5.33,7,0.458,-0.901
444,The tutorial is beginner friendly and clearly written. Sample 444,290,8.33,11,0.597,1.89
445,The research manuscript presents sophisticated theoretical arguments. Sample 445,78,5.24,15,0.617,3.51
446,The story is engaging and suitable for young readers. Sample 446,172,8.09,19,0.085,-1.928
447,This passage is easy to read and understand. Sample 447,142,5.03,6,0.373,-1.869
448,The tutorial is beginner friendly and clearly written. Sample 448,234,6.48,19,0.384,-1.514
449,The story is engaging and suitable for young readers. Sample 449,295,6.97,6,0.555,0.917
450,The document contains moderately complex vocabulary. Sample 450,115,5.07,15,0.619,3.924
451,This passage is easy to read and understand. Sample 451,268,4.18,13,0.964,1.044
452,The tutorial is beginner friendly and clearly written. Sample 452,229,6.92,14,0.71,0.551
453,The document contains moderately complex vocabulary. Sample 453,62,6.33,8,0.292,-0.801
454,The research manuscript presents sophisticated theoretical arguments. Sample 454,167,4.34,15,0.566,3.18
455,The tutorial is beginner friendly and clearly written. Sample 455,281,4.07,4,0.268,1.345
456,The article uses highly technical terminology and advanced concepts. Sample 456,297,7.61,2,0.76,0.531
457,The document contains moderately complex vocabulary. Sample 457,237,4.01,8,0.298,4.995
458,The tutorial is beginner friendly and clearly written. Sample 458,154,5.24,3,0.439,4.952
459,The document contains moderately complex vocabulary. Sample 459,127,7.55,19,0.689,3.888
460,The research manuscript presents sophisticated theoretical arguments. Sample 460,239,4.33,5,0.785,3.508
461,This passage is easy to read and understand. Sample 461,199,6.16,20,0.539,-0.411
462,The story is engaging and suitable for young readers. Sample 462,169,4.95,9,0.952,1.115
463,The story is engaging and suitable for young readers. Sample 463,68,4.18,14,0.919,4.94
464,The story is engaging and suitable for young readers. Sample 464,84,7.01,5,0.25,2.691
465,The document contains moderately complex vocabulary. Sample 465,221,5.95,19,0.632,2.023
466,The tutorial is beginner friendly and clearly written. Sample 466,251,3.88,3,0.403,2.998
467,The story is engaging and suitable for young readers. Sample 467,208,5.77,16,0.327,-2.98
468,The story is engaging and suitable for young readers. Sample 468,67,7.15,15,0.635,2.578
469,This passage is easy to read and understand. Sample 469,293,5.49,14,0.825,0.958
470,The article uses highly technical terminology and advanced concepts. Sample 470,165,5.19,19,0.131,3.819
471,The article uses highly technical terminology and advanced concepts. Sample 471,44,3.73,15,0.016,4.435
472,The document contains moderately complex vocabulary. Sample 472,245,5.78,14,0.202,2.509
473,The document contains moderately complex vocabulary. Sample 473,174,4.29,9,0.093,-0.117
474,This passage is easy to read and understand. Sample 474,210,6.82,6,0.052,2.005
475,The story is engaging and suitable for young readers. Sample 475,139,5.65,3,0.704,-2.991
476,The tutorial is beginner friendly and clearly written. Sample 476,59,4.16,8,0.519,0.561
477,This passage is easy to read and understand. Sample 477,195,7.59,14,0.694,0.822
478,The document contains moderately complex vocabulary. Sample 478,216,3.95,4,0.103,-0.06
479,The article uses highly technical terminology and advanced concepts. Sample 479,90,5.41,5,0.642,2.417
480,This passage is easy to read and understand. Sample 480,291,6.32,20,0.65,0.521
481,The story is engaging and suitable for young readers. Sample 481,129,6.64,5,0.92,1.929
482,The tutorial is beginner friendly and clearly written. Sample 482,131,3.93,4,0.14,-2.015
483,The story is engaging and suitable for young readers. Sample 483,216,5.26,14,0.315,-1.881
484,The article uses highly technical terminology and advanced concepts. Sample 484,63,4.74,20,0.6,1.861
485,The story is engaging and suitable for young readers. Sample 485,33,7.74,10,0.205,1.855
486,The document contains moderately complex vocabulary. Sample 486,220,4.98,2,0.784,3.35
487,The document contains moderately complex vocabulary. Sample 487,273,5.43,8,0.5,1.751
488,The research manuscript presents sophisticated theoretical arguments. Sample 488,26,8.43,11,0.132,3.887
489,The research manuscript presents sophisticated theoretical arguments. Sample 489,235,5.33,6,0.763,4.636
490,This passage is easy to read and understand. Sample 490,28,6.44,1,0.262,-2.681
491,This passage is easy to read and understand. Sample 491,223,6.03,17,0.767,0.389
492,The tutorial is beginner friendly and clearly written. Sample 492,62,6.7,18,0.616,-0.78
493,The article uses highly technical terminology and advanced concepts. Sample 493,60,6.06,7,0.974,-1.757
494,The article uses highly technical terminology and advanced concepts. Sample 494,220,6.43,3,0.31,0.5
495,The document contains moderately complex vocabulary. Sample 495,49,4.72,14,0.116,1.898
496,This passage is easy to read and understand. Sample 496,178,6.83,6,0.119,2.663
497,The story is engaging and suitable for young readers. Sample 497,25,4.32,12,0.523,3.264
498,The story is engaging and suitable for young readers. Sample 498,152,4.33,5,0.75,3.988
499,The story is engaging and suitable for young readers. Sample 499,80,7.36,1,0.335,0.435
500,The research manuscript presents sophisticated theoretical arguments. Sample 500,52,4.81,19,0.628,0.969
501,The research manuscript presents sophisticated theoretical arguments. Sample 501,204,3.78,19,0.167,-1.742
502,This passage is easy to read and understand. Sample 502,79,4.64,17,0.003,3.87
503,This passage is easy to read and understand. Sample 503,145,3.73,12,0.383,-1.799
504,This passage is easy to read and understand. Sample 504,234,4.62,8,0.416,2.762
505,The article uses highly technical terminology and advanced concepts. Sample 505,59,6.36,4,0.502,4.216
506,The document contains moderately complex vocabulary. Sample 506,134,7.52,2,0.954,-2.449
507,The tutorial is beginner friendly and clearly written. Sample 507,164,7.37,10,0.327,1.425
508,This passage is easy to read and understand. Sample 508,208,4.5,19,0.785,2.917
509,The document contains moderately complex vocabulary. Sample 509,257,5.34,16,0.998,3.207
510,The story is engaging and suitable for young readers. Sample 510,299,7.3,8,0.151,4.459
511,This passage is easy to read and understand. Sample 511,139,6.21,1,0.951,-2.988
512,The story is engaging and suitable for young readers. Sample 512,212,7.75,10,0.104,1.239
513,The document contains moderately complex vocabulary. Sample 513,234,5.96,2,0.973,-1.861
514,The article uses highly technical terminology and advanced concepts. Sample 514,67,3.72,8,0.897,1.158
515,The story is engaging and suitable for young readers. Sample 515,210,5.79,3,0.581,1.043
516,The story is engaging and suitable for young readers. Sample 516,221,3.87,19,0.062,2.3
517,The document contains moderately complex vocabulary. Sample 517,141,4.96,11,0.926,0.144
518,The story is engaging and suitable for young readers. Sample 518,187,5.09,9,0.234,4.548
519,The document contains moderately complex vocabulary. Sample 519,75,4.28,6,0.45,-0.488
520,This passage is easy to read and understand. Sample 520,294,5.29,7,0.452,0.707
521,This passage is easy to read and understand. Sample 521,66,4.29,10,0.826,2.575
522,This passage is easy to read and understand. Sample 522,130,7.68,11,0.148,2.689
523,The article uses highly technical terminology and advanced concepts. Sample 523,222,6.07,10,0.26,4.925
524,This passage is easy to read and understand. Sample 524,227,7.77,18,0.748,-1.001
525,The tutorial is beginner friendly and clearly written. Sample 525,72,7.52,5,0.121,-2.507
526,The document contains moderately complex vocabulary. Sample 526,86,4.49,13,0.372,2.042
527,The story is engaging and suitable for young readers. Sample 527,63,6.41,9,0.917,-2.4
528,This passage is easy to read and understand. Sample 528,121,8.01,15,0.809,-2.264
529,The article uses highly technical terminology and advanced concepts. Sample 529,82,3.71,15,0.051,4.393
530,The tutorial is beginner friendly and clearly written. Sample 530,222,5.98,13,0.683,-1.618
531,The document contains moderately complex vocabulary. Sample 531,115,4.87,15,0.883,-2.723
532,The research manuscript presents sophisticated theoretical arguments. Sample 532,145,6.74,16,0.412,1.406
533,This passage is easy to read and understand. Sample 533,64,4.9,5,0.419,2.141
534,The research manuscript presents sophisticated theoretical arguments. Sample 534,147,6.65,18,0.795,4.915
535,The story is engaging and suitable for young readers. Sample 535,203,5.9,16,0.344,1.525
536,The article uses highly technical terminology and advanced concepts. Sample 536,218,4.85,1,0.319,-1.248
537,The article uses highly technical terminology and advanced concepts. Sample 537,49,7.54,16,0.529,3.135
538,The document contains moderately complex vocabulary. Sample 538,101,4.0,8,0.267,3.53
539,The story is engaging and suitable for young readers. Sample 539,48,7.32,8,0.576,4.861
540,The tutorial is beginner friendly and clearly written. Sample 540,201,8.18,6,0.176,1.74
541,The story is engaging and suitable for young readers. Sample 541,203,8.07,1,0.703,-0.187
542,The research manuscript presents sophisticated theoretical arguments. Sample 542,92,6.32,7,0.837,3.483
543,The tutorial is beginner friendly and clearly written. Sample 543,297,5.05,16,0.038,-2.551
544,The research manuscript presents sophisticated theoretical arguments. Sample 544,132,3.6,16,0.001,4.343
545,The document contains moderately complex vocabulary. Sample 545,86,5.2,6,0.919,3.754
546,The article uses highly technical terminology and advanced concepts. Sample 546,50,3.61,19,0.705,-1.867
547,This passage is easy to read and understand. Sample 547,289,7.8,3,0.374,4.535
548,The tutorial is beginner friendly and clearly written. Sample 548,71,5.18,11,0.136,-1.74
549,The tutorial is beginner friendly and clearly written. Sample 549,269,6.75,6,0.707,1.496
550,The research manuscript presents sophisticated theoretical arguments. Sample 550,202,4.62,19,0.814,0.027
551,The story is engaging and suitable for young readers. Sample 551,170,4.14,1,0.949,4.59
552,The tutorial is beginner friendly and clearly written. Sample 552,36,4.41,11,0.921,4.74
553,The document contains moderately complex vocabulary. Sample 553,73,8.18,5,0.331,-2.378
554,The article uses highly technical terminology and advanced concepts. Sample 554,183,4.34,3,0.822,2.36
555,The story is engaging and suitable for young readers. Sample 555,191,5.73,9,0.21,2.545
556,The article uses highly technical terminology and advanced concepts. Sample 556,151,7.44,1,0.048,0.506
557,The tutorial is beginner friendly and clearly written. Sample 557,105,7.92,16,0.882,-0.19
558,The tutorial is beginner friendly and clearly written. Sample 558,71,7.64,19,0.651,2.497
559,The document contains moderately complex vocabulary. Sample 559,251,3.87,2,0.295,-0.45
560,This passage is easy to read and understand. Sample 560,57,5.21,13,0.161,-2.4
561,This passage is easy to read and understand. Sample 561,193,6.47,20,0.893,2.636
562,The tutorial is beginner friendly and clearly written. Sample 562,104,6.54,14,0.157,-2.19
563,The document contains moderately complex vocabulary. Sample 563,117,5.55,18,0.722,2.84
564,The article uses highly technical terminology and advanced concepts. Sample 564,164,4.99,4,0.05,1.574
565,The tutorial is beginner friendly and clearly written. Sample 565,98,3.77,1,0.428,-0.644
566,The story is engaging and suitable for young readers. Sample 566,265,4.5,1,0.207,2.106
567,This passage is easy to read and understand. Sample 567,262,7.72,10,0.785,0.768
568,The story is engaging and suitable for young readers. Sample 568,155,3.96,18,0.388,-0.032
569,The tutorial is beginner friendly and clearly written. Sample 569,209,4.43,2,0.263,0.72
570,The document contains moderately complex vocabulary. Sample 570,157,6.32,5,0.752,2.34
571,This passage is easy to read and understand. Sample 571,196,7.54,14,0.971,1.718
572,The research manuscript presents sophisticated theoretical arguments. Sample 572,51,7.7,17,0.419,1.284
573,The tutorial is beginner friendly and clearly written. Sample 573,140,5.88,3,0.395,3.832
574,This passage is easy to read and understand. Sample 574,277,6.36,17,0.8,2.42
575,The research manuscript presents sophisticated theoretical arguments. Sample 575,95,4.1,15,0.173,4.875
576,The document contains moderately complex vocabulary. Sample 576,118,4.13,14,0.078,2.465
577,The document contains moderately complex vocabulary. Sample 577,95,7.67,9,0.32,2.817
578,This passage is easy to read and understand. Sample 578,64,5.44,13,0.552,3.853
579,The research manuscript presents sophisticated theoretical arguments. Sample 579,254,8.09,1,0.787,1.984
580,The research manuscript presents sophisticated theoretical arguments. Sample 580,234,4.06,5,0.148,1.703
581,This passage is easy to read and understand. Sample 581,74,6.31,4,0.786,3.94
582,The article uses highly technical terminology and advanced concepts. Sample 582,230,4.82,16,0.572,0.784
583,The document contains moderately complex vocabulary. Sample 583,161,5.51,20,0.609,2.549
584,This passage is easy to read and understand. Sample 584,222,7.95,11,0.691,-2.606
585,The tutorial is beginner friendly and clearly written. Sample 585,157,7.99,1,0.338,3.349
586,The article uses highly technical terminology and advanced concepts. Sample 586,163,7.71,4,0.972,-1.176
587,The article uses highly technical terminology and advanced concepts. Sample 587,246,7.37,11,0.269,0.334
588,The story is engaging and suitable for young readers. Sample 588,65,4.44,7,0.913,0.257
589,The tutorial is beginner friendly and clearly written. Sample 589,284,7.84,2,0.515,-1.728
590,The article uses highly technical terminology and advanced concepts. Sample 590,279,5.52,17,0.879,-2.768
591,The document contains moderately complex vocabulary. Sample 591,122,7.68,8,0.033,-2.596
592,The article uses highly technical terminology and advanced concepts. Sample 592,121,4.87,15,0.505,2.083
593,This passage is easy to read and understand. Sample 593,35,4.71,16,0.594,-1.579
594,The tutorial is beginner friendly and clearly written. Sample 594,199,5.22,9,0.749,2.511
595,The article uses highly technical terminology and advanced concepts. Sample 595,34,5.43,6,0.854,3.239
596,The document contains moderately complex vocabulary. Sample 596,133,6.74,7,0.269,0.276
597,This passage is easy to read and understand. Sample 597,24,5.87,5,0.647,1.809
598,This passage is easy to read and understand. Sample 598,134,4.76,10,0.713,2.675
599,The article uses highly technical terminology and advanced concepts. Sample 599,236,7.98,12,0.459,-1.254
600,The article uses highly technical terminology and advanced concepts. Sample 600,286,7.62,13,0.584,-2.941
601,The story is engaging and suitable for young readers. Sample 601,211,6.31,20,0.609,-0.612
602,This passage is easy to read and understand. Sample 602,266,3.82,9,0.641,3.892
603,The article uses highly technical terminology and advanced concepts. Sample 603,172,4.44,17,0.765,4.197
604,The research manuscript presents sophisticated theoretical arguments. Sample 604,226,6.8,5,0.721,2.243
605,The article uses highly technical terminology and advanced concepts. Sample 605,152,8.03,13,0.388,-2.717
606,The story is engaging and suitable for young readers. Sample 606,117,5.22,8,0.686,2.107
607,The tutorial is beginner friendly and clearly written. Sample 607,203,6.04,6,0.841,4.012
608,The document contains moderately complex vocabulary. Sample 608,170,3.99,5,0.741,2.801
609,The research manuscript presents sophisticated theoretical arguments. Sample 609,113,8.23,11,0.654,-1.222
610,The document contains moderately complex vocabulary. Sample 610,177,5.6,11,0.372,1.685
611,The tutorial is beginner friendly and clearly written. Sample 611,80,5.85,19,0.58,1.965
612,The tutorial is beginner friendly and clearly written. Sample 612,119,6.0,13,0.53,0.305
613,The document contains moderately complex vocabulary. Sample 613,90,8.46,11,0.409,1.555
614,The tutorial is beginner friendly and clearly written. Sample 614,93,5.08,6,0.779,0.901
615,The story is engaging and suitable for young readers. Sample 615,110,5.07,2,0.005,-0.812
616,The document contains moderately complex vocabulary. Sample 616,101,5.95,3,0.129,0.47
617,The tutorial is beginner friendly and clearly written. Sample 617,226,5.65,16,0.383,-2.698
618,The document contains moderately complex vocabulary. Sample 618,211,8.25,11,0.757,1.248
619,This passage is easy to read and understand. Sample 619,22,6.63,8,0.226,4.016
620,The article uses highly technical terminology and advanced concepts. Sample 620,86,4.01,17,0.589,-1.664
621,This passage is easy to read and understand. Sample 621,172,8.24,15,0.728,1.771
622,The article uses highly technical terminology and advanced concepts. Sample 622,242,7.94,5,0.343,4.211
623,The article uses highly technical terminology and advanced concepts. Sample 623,116,4.32,13,0.019,-1.205
624,The document contains moderately complex vocabulary. Sample 624,128,7.17,19,0.505,-2.015
625,The story is engaging and suitable for young readers. Sample 625,39,5.38,9,0.771,1.985
626,The research manuscript presents sophisticated theoretical arguments. Sample 626,44,6.81,1,0.048,-2.074
627,The tutorial is beginner friendly and clearly written. Sample 627,214,4.12,9,0.474,-1.775
628,The story is engaging and suitable for young readers. Sample 628,24,5.01,4,0.662,-0.84
629,The research manuscript presents sophisticated theoretical arguments. Sample 629,90,5.59,4,0.512,1.942
630,The article uses highly technical terminology and advanced concepts. Sample 630,78,7.42,16,0.199,-1.402
631,The article uses highly technical terminology and advanced concepts. Sample 631,287,8.37,12,0.703,-0.637
632,This passage is easy to read and understand. Sample 632,300,5.98,7,0.688,0.845
633,The document contains moderately complex vocabulary. Sample 633,21,3.56,3,0.907,3.682
634,The story is engaging and suitable for young readers. Sample 634,272,4.25,3,0.78,-2.4
635,The story is engaging and suitable for young readers. Sample 635,71,8.02,8,0.457,4.818
636,The article uses highly technical terminology and advanced concepts. Sample 636,257,3.75,6,0.874,3.818
637,The article uses highly technical terminology and advanced concepts. Sample 637,180,5.63,4,0.095,3.066
638,This passage is easy to read and understand. Sample 638,24,7.76,6,0.329,4.156
639,The research manuscript presents sophisticated theoretical arguments. Sample 639,157,7.89,3,0.373,-0.258
640,This passage is easy to read and understand. Sample 640,225,5.5,15,0.272,0.086
641,The tutorial is beginner friendly and clearly written. Sample 641,235,6.74,6,0.113,2.569
642,This passage is easy to read and understand. Sample 642,101,4.02,19,0.483,1.552
643,The tutorial is beginner friendly and clearly written. Sample 643,112,6.56,12,0.611,3.901
644,The story is engaging and suitable for young readers. Sample 644,86,5.92,16,0.113,0.29
645,This passage is easy to read and understand. Sample 645,52,4.81,11,0.012,3.947
646,The research manuscript presents sophisticated theoretical arguments. Sample 646,134,8.39,11,0.519,2.506
647,The research manuscript presents sophisticated theoretical arguments. Sample 647,68,5.66,8,0.482,2.31
648,The story is engaging and suitable for young readers. Sample 648,217,4.24,18,0.892,1.903
649,This passage is easy to read and understand. Sample 649,100,6.03,16,0.852,3.955
650,This passage is easy to read and understand. Sample 650,271,5.1,11,0.97,-2.597
651,The document contains moderately complex vocabulary. Sample 651,213,5.52,8,0.079,0.554
652,The research manuscript presents sophisticated theoretical arguments. Sample 652,249,3.94,16,0.447,-2.05
653,The tutorial is beginner friendly and clearly written. Sample 653,29,4.01,14,0.036,1.393
654,This passage is easy to read and understand. Sample 654,175,7.95,18,0.207,2.372
655,The article uses highly technical terminology and advanced concepts. Sample 655,206,7.63,8,0.844,-0.344
656,The research manuscript presents sophisticated theoretical arguments. Sample 656,262,7.08,12,0.716,-2.088
657,The story is engaging and suitable for young readers. Sample 657,133,3.51,12,0.83,4.715
658,The article uses highly technical terminology and advanced concepts. Sample 658,300,6.11,4,0.046,-1.687
659,The document contains moderately complex vocabulary. Sample 659,229,4.03,20,0.196,-2.034
660,The tutorial is beginner friendly and clearly written. Sample 660,130,5.79,7,0.717,-2.138
661,The tutorial is beginner friendly and clearly written. Sample 661,43,8.13,19,0.123,4.134
662,The tutorial is beginner friendly and clearly written. Sample 662,278,4.17,16,0.004,2.89
663,The research manuscript presents sophisticated theoretical arguments. Sample 663,241,7.69,16,0.924,3.249
664,The document contains moderately complex vocabulary. Sample 664,108,7.15,5,0.104,2.26
665,The research manuscript presents sophisticated theoretical arguments. Sample 665,184,6.02,13,0.419,1.872
666,The story is engaging and suitable for young readers. Sample 666,147,4.87,11,0.97,0.623
667,The document contains moderately complex vocabulary. Sample 667,90,5.56,17,0.299,2.612
668,The article uses highly technical terminology and advanced concepts. Sample 668,131,4.5,20,0.714,2.493
669,The story is engaging and suitable for young readers. Sample 669,87,8.41,6,0.504,2.554
670,The article uses highly technical terminology and advanced concepts. Sample 670,79,7.3,18,0.48,1.565
671,The story is engaging and suitable for young readers. Sample 671,233,6.87,18,0.286,3.778
672,This passage is easy to read and understand. Sample 672,287,4.03,13,0.145,2.362
673,The document contains moderately complex vocabulary. Sample 673,156,7.25,6,0.984,2.467
674,The document contains moderately complex vocabulary. Sample 674,51,6.95,10,0.204,1.329
675,The article uses highly technical terminology and advanced concepts. Sample 675,251,4.01,18,0.865,2.939
676,The research manuscript presents sophisticated theoretical arguments. Sample 676,219,4.69,10,0.693,-2.624
677,The tutorial is beginner friendly and clearly written. Sample 677,218,5.58,11,0.966,-2.57
